Designator,Mid X,Mid Y,Rotation,Layer
C1,133.755,-85.0,0.0,top
C10,135.25,-90.5,180.0,top
C11,140.4,-95.225,-90.0,top
C12,146.42,-94.3,0.0,top
C13,146.42,-92.0,0.0,top
C14,130.675,-90.4,0.0,top
C15,136.6938,-91.22,-90.0,top
C16,147.0,-89.4,0.0,top
C17,130.675,-89.376,0.0,top
C18,158.8,-92.045,90.0,top
C19,146.42,-93.3,0.0,top
C2,133.705,-89.5,0.0,top
C4,150.65,-100.6,-90.0,top
C5,150.65,-104.1,-90.0,top
C7,144.375,-84.65,90.0,top
C8,146.425,-90.4,0.0,top
C9,140.21,-84.78,90.0,top
D1,118.2,-97.275,180.0,top
D2,118.2,-98.984,0.0,top
J1,169.6,-103.3,-90.0,top
J10,157.0,-103.3,-90.0,top
J2,145.775,-97.0,90.0,top
J3,172.23,-83.908,-90.0,top
J6,128.0,-102.2,0.0,top
J8,123.97,-81.368,90.0,top
J9,122.8,-89.5,-90.0,top
R1,130.675,-91.4,180.0,top
R10,163.1833,-92.0513,-90.0,top
R11,136.95,-96.05,-135.0,top
R12,135.8724,-94.9724,-135.0,top
R13,133.75,-93.774,180.0,top
R14,133.75,-92.25,180.0,top
R15,121.225,-97.275,180.0,top
R17,120.225,-99.19,-90.0,top
R18,136.515,-100.5,0.0,top
R19,158.81,-86.8,90.0,top
R2,130.425,-84.5,180.0,top
R20,159.32,-85.325,180.0,top
R21,135.65,-103.1501,180.0,top
R22,135.65,-104.1501,180.0,top
R23,136.2,-84.73,180.0,top
R3,149.9,-92.15,-45.0,top
R4,148.8217,-93.2283,-45.0,top
R5,136.15,-89.5,0.0,top
R6,143.174,-96.8,-90.0,top
R7,141.65,-96.8,-90.0,top
R8,139.1276,-98.1776,-135.0,top
R9,138.05,-97.1,-135.0,top
SW1,169.725,-90.625,-90.0,top
SW2,178.2833,-90.6237,-90.0,top
U1,141.3375,-90.0,-90.0,top
U2,145.2,-102.5,0.0,top
U3,155.4,-88.925,180.0,top
Y1,133.755,-87.25,180.0,top
